tmdb_id,imdb_id,original_language,original_title,genres,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,providers,netflix_provider,stan_provider,amazon_provider,imdb_rating,imdb_votes,iso_country,country_name,budget,revenue,runtime
55721.0,tt1478338,en,Bridesmaids,"Comedy,Romance",13/05/2011,False,False,21.995,6.5,3921.0,"Amazon Prime Video, Stan",Yes,Yes,Yes,6.8,294547.0,US,United States of America,32500000,288383523,125
133682.0,tt1871329,en,Nick Cannon Mr. Show Biz,"Comedy,Documentary",14/05/2011,False,False,1.454,5.0,4.0,Amazon Prime Video,No,Yes,No,4.6,88.0,US,United States of America,0,0,100
78715.0,tt1905071,en,Toomelah,"Crime,Drama",16/05/2011,False,False,1.496,6.5,10.0,Netflix,No,No,Yes,6.2,423.0,AU,Australia,0,0,106
67748.0,tt1680114,en,Snowtown,"Biography,Crime,Drama",16/05/2011,False,False,9.48,6.3,251.0,Stan,No,Yes,No,6.6,19368.0,AU,Australia,0,8452,120
52449.0,tt1284575,en,Bad Teacher,"Comedy,Romance",16/05/2011,False,False,27.903,5.6,4215.0,Netflix,No,No,Yes,5.6,205111.0,US,United States of America,20000000,216197492,92
81516.0,tt2296338,en,Brian Eno 1971–1977: The Man Who Fell To Earth,"Biography,Documentary,Music",17/05/2011,False,False,1.836,5.3,3.0,Amazon Prime Video,No,Yes,Yes,7.4,221.0,GB,United Kingdom,0,0,154
199608.0,tt1987004,en,Tornado Rampage,Documentary,22/05/2011,False,False,0.923,0.0,0.0,Amazon Prime Video,No,No,Yes,7.6,34.0,US,United States of America,0,0,0
222381.0,tt2402982,en,Bull Runners of Pamplona,Documentary,24/05/2011,False,False,0.6,5.7,3.0,Amazon Prime Video,No,No,Yes,6.9,42.0,GB,United Kingdom,0,0,56
49444.0,tt1302011,en,Kung Fu Panda 2,"Action,Adventure,Animation",25/05/2011,False,False,78.451,6.9,5937.0,"Netflix, Stan",No,No,Yes,7.2,288827.0,US,United States of America,150000000,665692281,91
45243.0,tt1411697,en,The Hangover Part II,Comedy,25/05/2011,False,False,87.894,6.5,9306.0,Netflix,Yes,No,No,6.4,504080.0,US,United States of America,80000000,586764305,102
62215.0,tt1527186,en,Melancholia,"Drama,Sci-Fi",26/05/2011,False,False,23.84,7.2,3001.0,Stan,No,No,Yes,7.1,184981.0,DK,Denmark,7400000,15946321,135
123928.0,tt1880209,en,Gettysburg,"Documentary,History,War",30/05/2011,False,False,2.862,5.8,11.0,Amazon Prime Video,No,No,Yes,6.5,537.0,GB,United Kingdom,0,0,86
90756.0,tt1757927,en,Wandering Eye,"Mystery,Thriller",5/06/2011,False,False,5.771,5.8,16.0,Amazon Prime Video,No,No,Yes,5.2,540.0,CA,Canada,3000000,0,89
