id,original_language,original_title,genre_ids,release_date,video,adult,popularity,vote_average,vote_count,providers,iso_country,country_name,budget,revenue,runtime
6073,en,The Mexican,"[28, 35, 80, 10749]",1/03/2001,FALSE,FALSE,16.304,5.9,1219,['Stan'],MX,Mexico,57000000,147845033,123
39180,en,See Spot Run,"[10751, 35, 28, 80]",2/03/2001,FALSE,FALSE,13.907,5.9,188,['Stan'],AU,Australia,0,0,94
101358,en,A Mother's Testimony,[18],6/03/2001,FALSE,FALSE,2.031,5.5,2,['Amazon Prime Video'],Null,Null,Null,Null,Null
147967,en,The Journeyman,[37],10/03/2001,FALSE,FALSE,2.431,5,1,['Amazon Prime Video'],US,United States of America,0,0,93
10877,en,Exit Wounds,"[28, 80, 53]",13/03/2001,FALSE,FALSE,15.596,5.6,380,['Stan'],CA,Canada,50000000,79958599,101
853,en,Enemy at the Gates,"[18, 10752, 36]",14/03/2001,FALSE,FALSE,46.701,7.4,3036,['Amazon Prime Video'],IE,Ireland,68000000,96976270,131
10054,en,Spy Kids,"[28, 35, 10751, 12]",18/03/2001,FALSE,FALSE,35.698,5.8,2971,['Stan'],US,United States of America,35000000,147934180,88
18017,en,Yolngu Boy,"[18, 12]",22/03/2001,FALSE,FALSE,2.286,6,5,['Netflix'],AU,Australia,0,671,88
10646,en,Tomcats,"[35, 10749]",30/03/2001,FALSE,FALSE,13.874,5.2,211,['Netflix'],US,United States of America,11000000,23430766,95
654209,en,One of Them,[18],2/04/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
4133,en,Blow,"[80, 18]",4/04/2001,FALSE,FALSE,25.702,7.4,3810,['Netflix'],US,United States of America,53000000,83282296,124
2043,en,Along Came a Spider,"[80, 9648, 53, 28]",6/04/2001,FALSE,FALSE,25.66,6.3,1547,"['Netflix', 'Stan']",CA,Canada,60000000,105178561,104
10956,en,Joe Dirt,"[9648, 12, 35, 10749, 18]",10/04/2001,FALSE,FALSE,13.906,5.6,628,['Netflix'],US,United States of America,17700000,30987695,91
634,en,Bridget Jones's Diary,"[35, 10749, 18]",13/04/2001,FALSE,FALSE,30.862,6.8,4401,['Stan'],GB,United Kingdom,25000000,281929795,97
36963,en,Kevin James: Sweat the Small Stuff,[35],23/04/2001,FALSE,FALSE,2.389,7.3,18,['Netflix'],Null,Null,Null,Null,Null
1734,en,The Mummy Returns,"[12, 28, 14]",4/05/2001,FALSE,FALSE,47.521,6.3,6073,"['Netflix', 'Stan']",US,United States of America,98000000,443280904,130
5852,en,Angel Eyes,"[18, 10749, 53]",15/05/2001,FALSE,FALSE,12.494,6.1,368,['Netflix'],US,United States of America,53000000,29700000,102
808,en,Shrek,"[16, 35, 14, 12, 10751]",18/05/2001,FALSE,FALSE,203.183,7.7,14676,"['Netflix', 'Amazon Prime Video', 'Stan']",US,United States of America,60000000,487853320,90
1018,en,Mulholland Drive,"[53, 18, 9648]",6/06/2001,FALSE,FALSE,30.716,7.8,5223,['Stan'],FR,France,15000000,20271129,147
9705,en,Swordfish,"[28, 80, 53]",7/06/2001,FALSE,FALSE,22.719,6.2,2304,['Stan'],AU,Australia,102000000,147080413,99
1365,en,Monster's Ball,"[18, 10749]",7/06/2001,FALSE,FALSE,19.723,6.8,808,['Stan'],US,United States of America,4000000,44909486,113
1995,en,Lara Croft: Tomb Raider,"[12, 14, 28, 53]",11/06/2001,FALSE,FALSE,31.591,5.9,5438,['Amazon Prime Video'],DE,Germany,115000000,274703340,100
962776,en,The boys who killed Jamie Bulger,[],12/06/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
60495,en,Guardian,"[28, 878, 14]",12/06/2001,FALSE,FALSE,1.757,5.6,6,['Amazon Prime Video'],Null,Null,Null,Null,Null
946589,en,Hard Knox,"[28, 35, 10770]",16/06/2001,FALSE,FALSE,0.6,0,0,['Amazon Prime Video'],Null,Null,Null,Null,Null
9799,en,The Fast and the Furious,"[28, 80, 53]",22/06/2001,FALSE,FALSE,5.915,6.9,8603,"['Amazon Prime Video', 'Stan']",DE,Germany,38000000,207283925,106
644,en,A.I. Artificial Intelligence,"[18, 878, 12]",29/06/2001,FALSE,FALSE,32.819,7,5419,['Stan'],US,United States of America,100000000,235926552,146
10992,en,Cats & Dogs,"[10751, 35]",4/07/2001,FALSE,FALSE,28.858,5.4,1406,"['Amazon Prime Video', 'Stan']",US,United States of America,60000000,93375151,87
4248,en,Scary Movie 2,[35],4/07/2001,FALSE,FALSE,70.501,5.8,3948,['Stan'],CA,Canada,45000000,141220678,83
8835,en,Legally Blonde,"[35, 10749]",13/07/2001,FALSE,FALSE,33.352,6.7,3341,['Amazon Prime Video'],US,United States of America,18000000,141774679,96
331,en,Jurassic Park III,"[12, 28, 53, 878]",18/07/2001,FALSE,FALSE,2.05,6.1,6199,['Amazon Prime Video'],US,United States of America,93000000,368780809,92
55181,en,The Retrievers,"[35, 10751]",27/07/2001,FALSE,FALSE,2.46,5.6,7,['Amazon Prime Video'],US,United States of America,0,0,90
72869,en,Spirit,"[18, 27, 53, 10770]",1/08/2001,FALSE,FALSE,2.336,7,1,['Amazon Prime Video'],US,United States of America,0,0,105
61698,en,Tail Sting,"[28, 27, 53]",1/08/2001,FALSE,FALSE,2.607,2.3,6,['Amazon Prime Video'],US,United States of America,0,0,97
79053,en,100 Kilos,"[18, 80]",3/08/2001,FALSE,FALSE,3.071,5,4,['Amazon Prime Video'],US,United States of America,0,0,89
2770,en,American Pie 2,"[35, 10749]",10/08/2001,FALSE,FALSE,46.753,6.2,4310,['Stan'],US,United States of America,30000000,287553595,108
286369,en,Gabriel & Me,[18],13/08/2001,FALSE,FALSE,0.749,5,2,['Amazon Prime Video'],GB,United Kingdom,0,0,84
13496,en,American Outlaws,"[37, 28]",17/08/2001,FALSE,FALSE,17.462,6,200,['Netflix'],US,United States of America,35000000,13678913,94
53000,en,Soul Assassin,"[28, 9648, 53]",23/08/2001,FALSE,FALSE,4.5,5.3,8,['Amazon Prime Video'],NL,Netherlands,0,0,96
15104,en,Tortilla Soup,"[35, 18, 10749]",24/08/2001,FALSE,FALSE,8.911,5.9,37,['Amazon Prime Video'],US,United States of America,0,4574762,103
13777,en,He Died with a Felafel in His Hand,[35],30/08/2001,FALSE,FALSE,5.405,7.1,110,['Stan'],AU,Australia,0,0,107
7501,en,Knockaround Guys,"[80, 53]",7/09/2001,FALSE,FALSE,9.566,5.9,280,['Netflix'],US,United States of America,15000000,12000000,92
62476,en,Mr In-Between,"[28, 53]",10/09/2001,FALSE,FALSE,3.07,5.6,14,['Amazon Prime Video'],GB,United Kingdom,0,0,98
