tmdb_id,imdb_id,original_language,original_title,genre_id,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,providers,iso_country,country_name,budget,revenue,runtime
334294,tt5785934,en,Africa Fusion,"['Thriller', 'Horror']",31/03/2015,False,False,0.713,9.0,2,7.3,70,['Amazon Prime Video'],US,United States of America,0,0,52
358353,tt4364866,en,Bound & Babysitting,"['Comedy', 'Science Fiction']",1/04/2015,False,False,3.37,6.0,24,6.2,690,['Amazon Prime Video'],US,United States of America,1600000,0,85
168259,tt2820852,en,Furious 7,['Documentary'],1/04/2015,False,False,72.844,7.2,9467,7.1,392686,"['Amazon Prime Video', 'Stan']",US,United States of America,190000000,1515047671,137
1035202,tt4578372,en,SLOVAKIA: Treasures in the Heart of Europe,"['Drama', 'Thriller', 'Mystery']",2/04/2015,False,False,0.6,5.0,1,7.3,38,['Amazon Prime Video'],SK,Slovakia,0,0,58
308504,tt2493486,en,Last Knights,"['Drama', 'Documentary']",3/04/2015,False,False,18.535,6.5,958,6.1,43858,['Stan'],CZ,Czech Republic,40000000,3643591,115
252512,tt1791682,en,While We're Young,"['Drama', 'Thriller']",3/04/2015,False,False,16.301,5.9,961,6.3,51213,['Stan'],US,United States of America,10000000,17287309,97
532701,tt3756812,en,Pipe Dream,['Comedy'],4/04/2015,False,False,0.6,5.0,1,7.4,36,['Amazon Prime Video'],US,United States of America,0,0,14
334534,tt4613322,en,Louis Theroux: Transgender Kids,"['Science Fiction', 'Mystery', 'Thriller', 'Action']",5/04/2015,False,False,3.08,6.9,16,7.1,1257,['Stan'],GB,United Kingdom,0,0,60
328448,tt3593666,en,Dial a Prayer,"['Action', 'Thriller', 'Science Fiction', 'Drama']",7/04/2015,False,False,3.284,5.2,33,5.2,979,['Amazon Prime Video'],US,United States of America,0,0,98
478559,tt3956544,en,Redfern Now: Promise Me,"['Drama', 'Comedy', 'Romance']",9/04/2015,False,False,1.271,8.0,3,7.7,158,"['Netflix', 'Stan']",AU,Australia,0,0,86
337645,tt3823826,en,Kevin Hart Presents: Plastic Cup Boyz,"['Action', 'Comedy', 'Science Fiction']",12/04/2015,False,False,2.711,5.6,5,5.9,156,['Amazon Prime Video'],US,United States of America,0,0,0
321528,tt4324274,en,Batman vs. Robin,['Thriller'],14/04/2015,False,False,16.143,7.2,783,7.1,23432,['Stan'],US,United States of America,0,0,72
329004,tt2580382,en,The Survivalist,"['Comedy', 'Drama', 'Romance']",15/04/2015,False,False,9.595,6.2,273,6.4,17566,['Amazon Prime Video'],GB,United Kingdom,0,0,104
256961,tt3450650,en,Paul Blart: Mall Cop 2,"['Action', 'TV Movie', 'Science Fiction', 'Comedy', 'Adventure']",16/04/2015,False,False,34.958,5.2,1364,4.4,38417,['Netflix'],US,United States of America,38000000,107597242,94
245706,tt2273657,en,True Story,['Drama'],17/04/2015,False,False,14.599,6.3,1741,6.3,69637,['Amazon Prime Video'],US,United States of America,0,5261595,99
481996,tt3395286,en,The Last Trip,"['Thriller', 'Horror']",19/04/2015,False,False,0.6,0.0,0,4.5,17,['Amazon Prime Video'],US,United States of America,0,0,76
314292,tt4838614,en,K2 & The Invisible Footmen,['Comedy'],20/04/2015,False,False,0.6,8.9,7,7.0,133,['Amazon Prime Video'],US,United States of America,0,0,54
323901,tt3396166,en,The Last Rescue,"['Adventure', 'Animation', 'Fantasy', 'Family']",21/04/2015,False,False,4.332,4.7,16,4.5,2786,['Amazon Prime Video'],US,United States of America,0,0,107
318225,tt3986532,en,Tig,"['Comedy', 'Drama']",23/04/2015,False,False,8.828,7.2,85,7.4,2724,['Netflix'],US,United States of America,0,0,95
337405,tt4660086,en,Jim Norton: Contextually Inadequate,"['Thriller', 'Mystery', 'Drama']",24/04/2015,False,False,2.029,6.6,18,7.2,513,['Amazon Prime Video'],US,United States of America,0,0,57
331161,tt3084028,en,See You In Valhalla,"['Thriller', 'Drama']",24/04/2015,False,False,6.302,5.4,55,5.3,2280,['Amazon Prime Video'],US,United States of America,0,0,82
345519,tt4660952,en,The Day the '60s Died,"['Horror', 'Thriller']",28/04/2015,False,False,1.215,7.8,4,7.3,173,['Amazon Prime Video'],US,United States of America,0,0,56
338063,tt3593124,en,Drag Becomes Him,"['Adventure', 'Horror', 'Comedy']",29/04/2015,False,False,2.636,7.1,12,6.9,685,['Amazon Prime Video'],US,United States of America,0,0,82
248574,tt1731701,en,Barely Lethal,"['Comedy', 'Drama', 'Romance']",30/04/2015,False,False,13.423,5.8,952,5.4,22313,['Stan'],US,United States of America,0,6075,96
336845,tt4262142,en,Cleveland Abduction,['Documentary'],2/05/2015,False,False,12.904,7.2,299,6.6,7726,['Netflix'],US,United States of America,0,0,88
