,adult,genre_id,tmdb_id,imdb_id,budget,revenue,original_title,original_language,popularity,release_date,title,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
57,False,"['Comedy', 'Family']",32834,tt0196106,4,1,MVP: Most Valuable Primate,en,6.947,2000-08-11,MVP: Most Valuable Primate,4.8,67,Comedy,Family,,,,
58,False,['Drama'],46119,tt0197384,0,26394,Crime + Punishment in Suburbia,en,7.409,2000-08-25,Crime + Punishment in Suburbia,6.2,39,Drama,,,,,
59,False,['Documentary'],494256,tt0285905,0,0,Pink Floyd: Behind the Wall,en,0.621,2000-08-30,Pink Floyd: Behind the Wall,7.0,1,Documentary,,,,,
60,False,"['Adventure', 'Comedy', 'Crime']",134,tt0190590,26000000,71870729,"O Brother, Where Art Thou?",en,26.457,2000-08-30,"O Brother, Where Art Thou?",7.32,3529,Adventure,Comedy,Crime,,,
61,False,['Drama'],50225,tt0201899,0,0,A Rumor of Angels,en,3.113,2000-09-08,A Rumor of Angels,6.6,22,Drama,,,,,
62,False,['Comedy'],38132,tt0216930,0,0,My 5 Wives,en,2.969,2000-09-08,My 5 Wives,4.765,17,Comedy,,,,,
63,False,"['Action', 'Crime', 'Drama', 'Thriller']",1619,tt0202677,8500000,19125401,The Way of the Gun,en,14.197,2000-09-08,The Way of the Gun,6.353,347,Action,Crime,Drama,Thriller,,
64,False,"['Animation', 'Family']",89473,tt0248575,0,0,Tweety's High Flying Adventure,en,7.864,2000-09-12,Tweety's High Flying Adventure,6.737,57,Animation,Family,,,,
65,False,"['Family', 'Animation', 'Adventure', 'Comedy']",16340,tt0213203,30000000,103291131,Rugrats in Paris: The Movie,en,19.384,2000-09-14,Rugrats in Paris: The Movie,6.645,404,Family,Animation,Adventure,Comedy,,
66,False,"['Drama', 'Music']",786,tt0181875,60000000,47386287,Almost Famous,en,22.455,2000-09-15,Almost Famous,7.5,2282,Drama,Music,,,,
67,False,"['Thriller', 'Crime', 'Drama']",10562,tt0164212,25000000,1308242,Under Suspicion,en,14.669,2000-09-24,Under Suspicion,6.115,382,Thriller,Crime,Drama,,,
68,False,"['Action', 'Drama']",279700,tt0195944,0,0,Newsbreak,en,1.127,2000-09-26,Newsbreak,0.0,0,Action,Drama,,,,
