tmdb_id,imdb_id,original_language,original_title,genres,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,providers,netflix_provider,stan_provider,amazon_provider,imdb_rating,imdb_votes,iso_country,country_name,budget,revenue,runtime
784047,tt13818410,en,Creating The Queen's Gambit,"Documentary,Short",10/01/2021,False,False,10.278,8.0,84,Netflix,Yes,No,No,6.9,658,US,United States of America,0,0,14
776142,tt13649700,en,"Crack: Cocaine, Corruption & Conspiracy","Crime,Documentary,History",11/01/2021,False,False,12.779,6.7,61,Netflix,Yes,No,No,6.7,3529,US,United States of America,0,0,89
841946,tt13642786,en,Sustainable Life With Unlimited Transformations,"Horror,Sci-Fi",13/01/2021,False,False,1.164,7.0,1,Amazon Prime Video,No,No,Yes,6.4,30,US,United States of America,5000,0,52
628534,tt6571548,en,The White Tiger,"Crime,Drama",13/01/2021,False,False,14.994,7.0,732,Netflix,Yes,No,No,7.1,61130,IN,India,0,0,125
532865,tt3661210,en,The Dig,"Biography,Drama,History",14/01/2021,False,False,12.345,6.9,969,Netflix,Yes,No,No,7.1,76079,GB,United Kingdom,0,0,112
787901,tt13259452,en,Mean Man: The Story of Chris Holmes,Documentary,15/01/2021,False,False,3.543,7.0,2,Amazon Prime Video,No,No,Yes,6.2,281,US,United States of America,0,0,78
779201,tt13802658,en,What Would Sophia Loren Do?,"Biography,Documentary,Short",15/01/2021,False,False,5.271,6.7,22,Netflix,Yes,No,No,6.6,761,US,United States of America,0,0,33
775996,tt10451914,en,Outside the Wire,"Action,Adventure,Fantasy",15/01/2021,False,False,38.814,6.4,1556,Netflix,Yes,No,No,5.4,43160,US,United States of America,0,0,116
634528,tt6902332,en,The Marksman,"Action,Drama",15/01/2021,False,False,82.748,6.9,1294,Stan,No,Yes,No,5.6,35029,US,United States of America,23000000,23076711,108
550205,tt5562070,en,Wish Dragon,"Adventure,Animation,Comedy",15/01/2021,False,False,66.34,8.0,1035,Netflix,Yes,No,No,7.2,27894,CN,China,0,25860000,99
636838,tt6812404,en,"Stallone: Frank, That Is","Biography,Documentary",19/01/2021,False,False,9.064,5.8,6,Amazon Prime Video,No,No,Yes,6.5,284,US,United States of America,0,0,73
618416,tt6317656,en,Penguin Bloom,"Biography,Drama",21/01/2021,False,False,15.846,7.1,224,Netflix,Yes,No,No,6.8,10899,AU,Australia,0,0,95
779011,tt12567442,en,A Wedding to Remember,"Comedy,Romance",22/01/2021,False,False,4.446,7.4,16,Amazon Prime Video,No,No,Yes,6.1,474,CA,Canada,0,0,85
678491,tt10449052,en,No Man's Land,"Action,Adventure,Thriller",22/01/2021,False,False,3.665,6.4,18,Amazon Prime Video,No,No,Yes,5.4,1215,MX,Mexico,0,0,114
694938,tt9126944,en,R.I.A (Override),"Crime,Sci-Fi,Thriller",26/01/2021,False,False,3.839,6.0,12,Amazon Prime Video,No,No,Yes,3.9,2674,GB,United Kingdom,0,0,95
899720,tt14468340,en,Maz Jobrani: Pandemic Warrior,Comedy,28/01/2021,False,False,0.6,0.0,0,Amazon Prime Video,No,No,Yes,6.2,9,US,United States of America,0,0,75
798063,tt12991814,en,Happy's,Comedy,28/01/2021,False,False,0.69,5.0,1,Amazon Prime Video,No,No,Yes,6.9,588,US,United States of America,0,0,0
556867,tt7737640,en,Breaking News in Yuba County,"Comedy,Drama,Thriller",28/01/2021,False,False,12.227,5.7,126,Amazon Prime Video,No,No,Yes,5.8,6353,US,United States of America,0,0,96
522466,tt9286908,en,High Ground,"Action,Adventure,Drama",28/01/2021,False,False,5.85,6.5,50,Stan,No,Yes,No,6.5,2135,AU,Australia,0,0,104
845377,tt13445916,en,Sanitation Day,Thriller,29/01/2021,False,False,2.214,2.0,1,Netflix,Yes,No,No,3.2,19,NG,Nigeria,250000,0,104
722913,tt12676326,en,Malcolm & Marie,"Drama,Romance",29/01/2021,False,False,26.291,7.1,1187,Netflix,Yes,No,No,6.6,37940,US,United States of America,2500000,0,106
719770,tt7235666,en,No Witnesses,Crime,29/01/2021,False,False,2.065,4.8,2,Amazon Prime Video,No,No,Yes,3.2,102,AU,Australia,0,0,101
644092,tt10332588,en,Finding ʻOhana,"Action,Adventure,Comedy",29/01/2021,False,False,24.44,6.4,333,Netflix,Yes,No,No,6.1,10474,US,United States of America,0,0,123
826520,tt5619044,en,Night Shift,Comedy,30/01/2021,False,False,1.066,5.0,4,Amazon Prime Video,No,No,Yes,4.7,158,AU,Australia,0,0,98
775622,tt13606148,en,Snowkissed,"Comedy,Romance",30/01/2021,False,False,4.706,7.6,22,Amazon Prime Video,No,No,Yes,6.1,1280,CA,Canada,0,0,84
791674,tt9747626,en,Faith.Hope.Love,Drama,1/02/2021,False,False,1.264,5.0,1,Amazon Prime Video,No,No,Yes,5.9,60,US,United States of America,0,0,115
786573,tt8804830,en,HellKat,"Action,Horror",2/02/2021,False,False,5.551,6.0,21,Amazon Prime Video,No,No,Yes,2.8,210,US,United States of America,0,0,79
776593,tt10393074,en,Amy Tan: Unintended Memoir,"Biography,Documentary",2/02/2021,False,False,2.51,8.3,3,Netflix,Yes,No,No,7.8,336,US,United States of America,0,0,101
778814,tt11482894,en,Daisy Quokka: World’s Scariest Animal,Animation,4/02/2021,False,False,16.847,6.7,67,Netflix,Yes,No,No,5.3,227,AU,Australia,0,0,88
778870,tt13787118,en,"Strip Down, Rise Up",Documentary,5/02/2021,False,False,12.341,7.0,40,Netflix,Yes,No,No,5.4,689,US,United States of America,0,0,112
613911,tt10333426,en,Bliss,"Drama,Romance,Sci-Fi",5/02/2021,False,False,15.425,5.5,514,Amazon Prime Video,No,No,Yes,5.3,18295,US,United States of America,0,0,103
588921,tt6570098,en,AINBO: Spirit of the Amazon,"Adventure,Animation,Comedy",9/02/2021,False,False,50.37,7.0,365,Amazon Prime Video,No,No,Yes,4.8,1860,PE,Peru,0,9882125,84
644583,tt4761112,en,The Mauritanian,"Biography,Drama,Thriller",10/02/2021,False,False,19.071,7.4,823,Amazon Prime Video,No,No,Yes,7.4,52684,GB,United Kingdom,0,0,129
796019,tt13935180,en,Positive Apocalypse,Adventure,11/02/2021,False,False,1.027,6.5,2,Amazon Prime Video,No,No,Yes,3.6,56,US,United States of America,0,0,80
664236,tt8241000,en,Extinct,"Adventure,Animation,Comedy",11/02/2021,False,False,27.528,6.5,123,Netflix,Yes,No,No,5.5,2879,CA,Canada,0,0,85
904191,tt13857480,en,Fine Wine,Romance,12/02/2021,False,False,1.369,2.0,1,Netflix,Yes,No,No,7.2,51,NG,Nigeria,0,0,130
672647,tt11080108,en,The Map of Tiny Perfect Things,"Comedy,Fantasy,Romance",12/02/2021,False,False,10.736,7.2,599,Amazon Prime Video,No,No,Yes,6.8,23624,US,United States of America,0,0,99
615643,tt10633456,en,Minari,Drama,12/02/2021,False,False,16.051,7.4,1250,Stan,No,Yes,No,7.4,82917,US,United States of America,2000000,12886100,115
614409,tt10676012,en,To All the Boys: Always and Forever,"Comedy,Drama,Romance",12/02/2021,False,False,33.609,7.7,1653,Netflix,Yes,No,No,6.3,27316,US,United States of America,0,0,115
598896,tt10265034,en,Land,"Adventure,Drama",12/02/2021,False,False,15.583,6.8,181,Netflix,Yes,No,No,6.6,11329,US,United States of America,0,2375190,89
669374,tt10241024,en,2 Weeks in Lagos,Romance,14/02/2021,False,False,2.238,2.0,1,Netflix,Yes,No,No,6.3,51,NG,Nigeria,0,0,115
734245,tt13364190,en,Firestarter: The Story of Bangarra,Documentary,18/02/2021,False,False,3.26,8.0,1,Netflix,Yes,No,No,8.3,96,AU,Australia,0,0,95
606813,tt7596220,en,Auggie,"Drama,Sci-Fi",18/02/2021,False,False,3.794,6.7,7,Amazon Prime Video,No,No,Yes,5.4,572,US,United States of America,0,0,81
656940,tt9585676,en,Body Brokers,"Drama,Thriller",19/02/2021,False,False,24.856,6.3,76,Amazon Prime Video,No,No,Yes,6.2,3350,US,United States of America,0,0,111
601666,tt9893250,en,I Care a Lot,"Comedy,Crime,Drama",19/02/2021,False,False,24.202,6.6,2218,Amazon Prime Video,No,No,Yes,6.3,134268,GB,United Kingdom,0,0,119
532577,tt8160794,en,The Greenhouse,Drama,19/02/2021,False,False,1.024,4.7,3,Netflix,Yes,No,No,4.9,171,AU,Australia,0,0,90
513310,tt7638348,en,Boss Level,"Action,Adventure,Comedy",19/02/2021,False,False,28.848,6.9,1195,Netflix,Yes,No,No,6.8,69410,GB,United Kingdom,45000000,2000000,94
779008,tt13697800,en,A Picture Perfect Wedding,"Comedy,Family,Romance",22/02/2021,False,False,3.114,5.8,6,Amazon Prime Video,No,No,Yes,5.6,278,CA,Canada,0,0,85
802069,tt12439210,en,7 Yards: The Chris Norton Story,Documentary,23/02/2021,False,False,2.573,7.3,3,Netflix,Yes,No,No,7.7,274,US,United States of America,0,0,93
794095,tt13926994,en,Brian Regan: On the Rocks,Comedy,23/02/2021,False,False,2.445,6.9,14,Netflix,Yes,No,No,6.9,657,US,United States of America,0,0,58
412656,tt2076822,en,Chaos Walking,"Action,Adventure,Fantasy",24/02/2021,False,False,35.588,6.7,1940,Stan,No,Yes,No,5.7,49735,CA,Canada,125000000,26943020,109
741228,tt13061914,en,Locked Down,"Comedy,Crime,Romance",25/02/2021,False,False,15.636,5.3,216,Netflix,Yes,No,No,5.2,12583,GB,United Kingdom,10000000,0,118
800884,tt14131438,en,Bruno v Tyson,"Documentary,Sport",26/02/2021,False,False,2.415,7.0,3,Stan,No,Yes,No,7.2,533,GB,United Kingdom,0,0,105
631880,tt8787632,en,Tyger Tyger,"Adventure,Romance,Western",26/02/2021,False,False,2.713,7.0,4,Amazon Prime Video,No,No,Yes,4.4,2201,US,United States of America,0,0,92
580532,tt9731682,en,Crisis,"Drama,Thriller",26/02/2021,False,False,21.559,6.4,237,Netflix,Yes,No,No,6.2,11007,BE,Belgium,0,0,118
853371,tt13920016,en,African America,Drama,28/02/2021,False,False,2.099,2.0,1,Netflix,Yes,No,No,5.6,72,ZA,South Africa,0,0,97
797309,tt14058484,en,Biggie: I Got a Story to Tell,"Biography,Documentary,Music",1/03/2021,False,False,7.438,7.3,109,Netflix,Yes,No,No,6.8,5206,US,United States of America,0,0,97
749837,tt3441366,en,Red Prophecies,"Action,Thriller",1/03/2021,False,False,2.583,1.0,1,Amazon Prime Video,No,No,Yes,3.8,90,RU,Russia,0,0,90
737277,tt10196480,en,North by Current,Documentary,1/03/2021,False,False,2.653,5.3,3,Amazon Prime Video,No,No,Yes,6.4,127,US,United States of America,0,0,86
800376,tt6831966,en,"I, Portrait",Thriller,3/03/2021,False,False,1.919,10.0,3,Amazon Prime Video,No,No,Yes,3.7,87,AU,Australia,0,0,79
788335,tt10483044,en,Cousins,Drama,3/03/2021,False,False,2.461,7.3,3,Netflix,Yes,No,No,7.0,570,NZ,New Zealand,20000000,0,98
583689,tt6432466,en,Moxie,"Comedy,Drama,Music",3/03/2021,False,False,17.945,7.4,689,Netflix,Yes,No,No,6.7,26246,US,United States of America,0,0,111
484718,tt6802400,en,Coming 2 America,Comedy,4/03/2021,False,False,31.153,6.5,1918,Amazon Prime Video,No,No,Yes,5.3,70927,US,United States of America,60000000,0,110
760875,tt7646322,en,The Devil Below,"Horror,Mystery,Thriller",5/03/2021,False,False,10.068,5.0,74,Amazon Prime Video,No,No,Yes,4.3,4779,US,United States of America,0,0,89
792101,tt11953368,en,Bats,Horror,6/03/2021,False,False,3.179,6.0,22,Amazon Prime Video,No,No,Yes,2.2,157,GB,United Kingdom,0,0,83
851925,tt11474972,en,Death Alley,Western,11/03/2021,False,False,3.897,5.9,27,Amazon Prime Video,No,No,Yes,3.3,428,US,United States of America,0,0,94
